ts,pair,long_venue,long_symbol,long_bid,long_ask,short_venue,short_symbol,short_bid,short_ask,entry_edge_bps,position_qty,long_avg_entry,short_avg_entry
2026-05-07T16:00:19.515465Z,TSLA_ext_vs_grvt,extended,TSLA_24_5-USD,407.23000000,407.59000000,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,30.4353,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,TSLA_grvt_vs_ext,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,extended,TSLA_24_5-USD,407.23000000,407.59000000,-64.2894,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,META_ext_vs_grvt,extended,META_24_5-USD,622.62000000,623.28000000,grvt,META_USDT_Perp,623.41000000,623.42000000,-10.4143,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,META_grvt_vs_ext,grvt,META_USDT_Perp,623.41000000,623.42000000,extended,META_24_5-USD,622.62000000,623.28000000,-25.3324,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,COIN_ext_vs_grvt,extended,COIN_24_5-USD,193.57000000,193.84000000,grvt,COIN_USDT_Perp,194.28000000,194.36000000,10.1991,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,COIN_grvt_vs_ext,grvt,COIN_USDT_Perp,194.28000000,194.36000000,extended,COIN_24_5-USD,193.57000000,193.84000000,-53.1462,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,PLTR_ext_vs_grvt,extended,PLTR_24_5-USD,138.81000000,138.93000000,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,9.0936,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,PLTR_grvt_vs_ext,grvt,PLTR_USDT_Perp,139.23000000,139.32000000,extended,PLTR_24_5-USD,138.81000000,138.93000000,-49.1064,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,MSTR_ext_vs_grvt,extended,MSTR_24_5-USD,178.44000000,178.53000000,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,56.3960,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:19.515465Z,MSTR_grvt_vs_ext,grvt,MSTR_USDT_Perp,179.76000000,179.87000000,extended,MSTR_24_5-USD,178.44000000,178.53000000,-92.0019,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,MSFT_ext_vs_grvt,extended,MSFT_24_5-USD,425.02000000,425.31000000,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,-2.1546,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,MSFT_grvt_vs_ext,grvt,MSFT_USDT_Perp,425.75000000,425.98000000,extended,MSFT_24_5-USD,425.02000000,425.31000000,-35.0363,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,AAPL_ext_vs_grvt,extended,AAPL_24_5-USD,288.95000000,289.23000000,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,-5.9308,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,AAPL_grvt_vs_ext,grvt,AAPL_USDT_Perp,289.42000000,289.43000000,extended,AAPL_24_5-USD,288.95000000,289.23000000,-29.0843,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,NVDA_ext_vs_grvt,extended,NVDA_24_5-USD,212.17000000,212.43000000,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,12.4494,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,NVDA_grvt_vs_ext,grvt,NVDA_USDT_Perp,212.96000000,212.97000000,extended,NVDA_24_5-USD,212.17000000,212.43000000,-50.0640,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,AMZN_ext_vs_grvt,extended,AMZN_24_5-USD,273.36000000,273.45000000,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,2.4936,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,AMZN_grvt_vs_ext,grvt,AMZN_USDT_Perp,273.86000000,273.98000000,extended,AMZN_24_5-USD,273.36000000,273.45000000,-35.1294,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,TSLA_ext_vs_grvt,extended,TSLA_24_5-USD,407.20000000,407.55000000,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,31.4210,0.00000000,0.00000000,0.00000000
2026-05-07T16:00:24.516445Z,TSLA_grvt_vs_ext,grvt,TSLA_USDT_Perp,409.34000000,409.35000000,extended,TSLA_24_5-USD,407.20000000,407.55000000,-65.0223,0.00000000,0.00000000,0.00000000
